Transaction_ID,Date,Region,Product,Quantity,Unit_Price,Total_Amount,Currency,Customer_ID
1,2023-08-29,Central,Laptop,10,545,5450,GBP,C0315
2,2023-03-14,Central,Monitor,5,261,1305,INR,C0296
3,2023-06-27,West,Smartwatch,7,1926,13482,USD,C0609
4,2023-09-02,South,Smartwatch,10,1869,18690,INR,C0037
5,2023-06-21,East,Tablet,7,1948,13636,USD,C0503
6,2023-03-11,West,Smartwatch,7,1584,11088,AUD,C0683
7,2023-05-18,East,Phone,4,528,2112,INR,C0889
8,2023-04-06,East,Phone,5,1703,8515,JPY,C0401
9,2023-03-27,Central,Headphones,9,668,6012,INR,C0758
10,2023-07-02,South,Tablet,5,1331,6655,JPY,C0530
11,2023-07-08,Central,Phone,5,155,775,JPY,C0613
12,2023-09-12,South,Laptop,1,406,406,JPY,C0039
13,2023-11-30,Central,Monitor,3,1139,3417,EUR,C0636
14,2023-01-25,North,Monitor,2,1239,2478,USD,C0275
15,2023-01-26,West,Laptop,5,1801,9005,EUR,C0819
16,2023-03-15,North,Tablet,7,931,6517,EUR,C0560
17,2023-02-15,North,Laptop,5,1323,6615,EUR,C0172
18,2023-06-01,Central,Tablet,5,1131,5655,USD,C0643
19,2023-01-01,South,Tablet,2,1305,2610,AUD,C0103
20,2023-08-25,East,Monitor,7,452,3164,AUD,C0010
21,2023-05-12,South,Laptop,10,1033,10330,GBP,C0872
22,2023-10-28,South,Laptop,7,420,2940,EUR,C0317
23,2023-04-01,South,Tablet,3,925,2775,GBP,C0879
24,2023-02-20,Central,Monitor,4,825,3300,AUD,C0999
25,2023-11-04,East,Laptop,9,766,6894,INR,C0410
26,2023-03-06,Central,Monitor,4,226,904,INR,C0945
27,2023-01-06,South,Monitor,8,790,6320,AUD,C0431
28,2023-10-25,Central,Tablet,2,1394,2788,INR,C0126
29,2023-10-16,North,Laptop,9,401,3609,JPY,C0930
30,2023-06-01,North,Tablet,3,1177,3531,INR,C0150
31,2023-06-11,West,Tablet,10,514,5140,INR,C0280
32,2023-04-04,Central,Laptop,4,1137,4548,GBP,C0539
33,2023-08-08,East,Monitor,1,924,924,USD,C0721
